,TOTAL,WHITE,AFR_AM,AM_IN_ALA_NAT,ASIAN,HAW_PAC_ISL,OTHER,TWO_OR_MORE,HISP_LATINO,PARISH
1,60957,49127,11175,163,137,6,349,816,"1,060",Acadia
2,25350,18435,5985,622,176,6,126,414,342,Allen
3,105905,78572,23846,339,1018,81,2049,1310,"5,024",Ascension
4,23212,15635,7141,133,58,12,233,209,498,Assumption
5,41391,28188,12398,503,141,3,158,682,606,Avoyelles
6,34793,29321,4655,356,224,17,220,861,"1,003",Beauregard
7,14177,7935,6076,50,34,0,82,176,207,Bienville
8,114427,84430,24461,641,1927,163,2805,2552,"7,026",Bossier
9,251211,124942,120264,1092,2683,126,2104,3758,"6,129",Caddo
10,189088,136514,47782,898,2073,93,1728,3680,"4,945",Calcasieu
11,10042,8213,1746,22,25,0,36,90,222,Caldwell
12,6765,6546,119,36,6,0,58,74,154,Cameron
13,10331,6985,3280,34,3,0,29,76,90,Catahoula
14,17051,8167,8733,63,41,1,46,144,171,Claiborne
15,20643,11959,8513,65,49,4,53,179,209,Concordia
16,26348,15456,10449,204,42,11,186,308,661,De Soto
17,434333,214927,199505,1097,12367,135,6302,5838,"16,274",East Baton Rouge
18,7701,2245,5356,19,44,0,37,58,127,East Carroll
19,20041,10783,9108,64,52,2,32,226,208,East Feliciana
20,33616,23439,9632,99,114,3,329,368,776,Evangeline
21,20605,13930,6537,37,42,6,53,162,196,Franklin
22,21957,18149,3470,228,59,8,43,352,931,Grant
23,72103,45551,23435,269,1754,20,1074,1137,"2,299",Iberia
24,33119,16280,16454,62,104,3,216,268,664,Iberville
25,16081,11084,4853,35,28,2,79,193,209,Jackson
26,423331,272115,113887,2038,16683,179,18429,9221,"53,702",Jefferson
27,31006,25125,5468,157,62,3,191,588,538,Jefferson Davis
28,217982,153706,57073,746,3331,81,3045,3596,"8,597",Lafayette
29,94587,76445,12746,2703,709,33,1951,1731,"3,647",Lafourche
30,14747,12689,1769,152,28,2,107,143,331,La Salle
31,46232,25775,18925,123,790,34,585,503,"1,189",Lincoln
32,126559,117601,6505,526,628,26,1273,1467,"3,801",Livingston
33,11982,4498,7381,24,27,0,52,111,188,Madison
34,27705,14345,13133,36,102,14,75,274,255,Morehouse
35,38721,21494,16362,376,134,11,344,845,735,Natchitoches
36,337909,113428,206871,1047,9970,134,6459,5920,"18,051",Orleans
37,151980,92884,56216,381,1455,51,993,1740,"2,760",Ouachita
38,22417,16246,4715,371,731,31,323,625,"1,067",Plaquemines
39,22582,14010,8284,18,57,0,213,220,492,Pointe Coupee
40,129402,83373,42113,1035,1559,36,1286,2211,"3,418",Rapides
41,9033,5360,3595,33,12,2,31,58,101,Red River
42,20535,12879,7454,64,55,4,79,190,332,Richland
43,23419,17155,4026,2082,56,0,100,814,820,Sabine
44,34854,26579,6350,260,690,22,953,1043,"3,309",St. Bernard
45,51933,36540,14051,172,440,21,709,847,"2,648",St. Charles
46,11112,5034,5974,38,9,4,53,91,99,St. Helena
47,21958,10615,11180,45,31,3,84,144,256,St. James
48,45263,19501,24576,144,322,22,698,661,"2,175",St. John the Baptist
49,82328,46615,34442,275,326,8,662,1056,"1,321",St. Landry
50,51440,34313,16039,222,397,3,466,720,"1,071",St. Martin
51,53575,32406,17765,994,948,29,1433,1075,"2,920",St. Mary
52,229493,195364,26645,1160,2972,93,3259,4247,"10,970",St. Tammany
53,119461,80206,36654,383,741,46,1431,1636,"4,260",Tangipahoa
54,5210,2202,2967,6,9,0,26,42,65,Tensas
55,109487,78591,21139,6347,1140,58,2212,2373,"4,421",Terrebonne
56,22543,15682,6182,58,32,17,572,178,943,Union
57,57185,46922,8286,209,1160,5,603,814,"1,381",Vermilion
58,50211,39614,7443,738,919,260,1237,2123,"3,775",Vernon
59,46649,31482,14625,133,110,3,296,519,887,Washington
60,40726,26469,13823,150,120,8,156,481,670,Webster
61,23515,14271,8972,30,79,13,150,273,544,West Baton Rouge
62,11492,9497,1822,52,27,0,94,112,299,West Carroll
63,15536,8125,7263,20,31,3,94,89,251,West Feliciana
64,15142,10223,4702,100,39,2,76,171,240,Winn
