StateCode,CountyCode,Name,Year,Total_Labor,Employed,Unemployed,UR
22,001,Acadia ,2017,24151,22724,1427,5.9     
22,003,Allen ,2017,9023,8548,475,5.3     
22,005,Ascension ,2017,62243,59580,2663,4.3     
22,007,Assumption ,2017,8960,8299,661,7.4     
22,009,Avoyelles ,2017,15644,14680,964,6.2     
22,011,Beauregard ,2017,14778,13989,789,5.3     
22,013,Bienville ,2017,5629,5289,340,6.0     
22,015,Bossier ,2017,56871,54310,2561,4.5     
22,017,Caddo ,2017,105707,99592,6115,5.8     
22,019,Calcasieu ,2017,108795,104505,4290,3.9     
22,021,Caldwell ,2017,3866,3644,222,5.7     
22,023,Cameron ,2017,4036,3892,144,3.6     
22,025,Catahou ,2017,3449,3206,243,7.0     
22,027,Ciborne ,2017,5877,5561,316,5.4     
22,029,Concordia ,2017,7160,6596,564,7.9     
22,031,De Soto ,2017,10700,10047,653,6.1     
22,033,East Baton Rouge ,2017,232758,222513,10245,4.4     
22,035,East Carroll ,2017,2076,1845,231,11.1     
22,037,East Feliciana ,2017,8110,7722,388,4.8     
22,039,Evangeline ,2017,12590,11844,746,5.9     
22,041,Franklin ,2017,7301,6753,548,7.5     
22,043,Grant ,2017,8189,7672,517,6.3     
22,045,Iberia ,2017,29495,27351,2144,7.3     
22,047,Iberville ,2017,14142,13272,870,6.2     
22,049,Jackson ,2017,7004,6686,318,4.5     
22,051,Jefferson ,2017,215779,206008,9771,4.5     
22,053,Jefferson Davis ,2017,13679,13015,664,4.9     
22,055,fayette ,2017,113098,107552,5546,4.9     
22,057,fourche ,2017,41795,39604,2191,5.2     
22,059,Salle ,2017,6172,5881,291,4.7     
22,061,Lincoln ,2017,21674,20549,1125,5.2     
22,063,Livingston ,2017,68804,65914,2890,4.2     
22,065,Madison ,2017,3823,3513,310,8.1     
22,067,Morehouse ,2017,10420,9587,833,8.0     
22,069,Natchitoches ,2017,16450,15468,982,6.0     
22,071,Orleans ,2017,179465,170264,9201,5.1     
22,073,Ouachita ,2017,70946,67215,3731,5.3     
22,075,Pquemines ,2017,10149,9680,469,4.6     
22,077,Pointe Coupee ,2017,9974,9416,558,5.6     
22,079,Rapides ,2017,56356,53190,3166,5.6     
22,081,Red River ,2017,3862,3660,202,5.2     
22,083,Richnd ,2017,8364,7853,511,6.1     
22,085,Sabine ,2017,8802,8318,484,5.5     
22,087,St Bernard ,2017,19477,18459,1018,5.2     
22,089,St Charles ,2017,25219,24085,1134,4.5     
22,091,St Helena ,2017,4386,4098,288,6.6     
22,093,St James ,2017,9547,8919,628,6.6     
22,095,St John the Baptist ,2017,19975,18760,1215,6.1     
22,097,St ndry ,2017,32148,29992,2156,6.7     
22,099,St Martin ,2017,22562,21190,1372,6.1     
22,101,St Mary ,2017,20410,18785,1625,8.0     
22,103,St Tammany ,2017,117253,112244,5009,4.3     
22,105,Tangipahoa ,2017,55118,52001,3117,5.7     
22,107,Tensas ,2017,1559,1428,131,8.4     
22,109,Terrebonne ,2017,47102,44420,2682,5.7     
22,111,Union ,2017,9147,8636,511,5.6     
22,113,Vermilion ,2017,24349,22895,1454,6.0     
22,115,Vernon ,2017,16368,15310,1058,6.5     
22,117,Washington ,2017,16976,15997,979,5.8     
22,119,Webster ,2017,14869,13848,1021,6.9     
22,121,West Baton Rouge ,2017,13283,12668,615,4.6     
22,123,West Carroll ,2017,4019,3625,394,9.8     
22,125,West Feliciana ,2017,5330,5106,224,4.2     
22,127,Winn ,2017,5059,4732,327,6.5     
