"","date","county","state","fips","cases","deaths"
"1","2021-02-08","Autauga","Alabama",1001,5881,77
"2","2021-02-08","Baldwin","Alabama",1003,18763,227
"3","2021-02-08","Barbour","Alabama",1005,2008,45
"4","2021-02-08","Bibb","Alabama",1007,2346,53
"5","2021-02-08","Blount","Alabama",1009,5920,112
"6","2021-02-08","Bullock","Alabama",1011,1132,29
"7","2021-02-08","Butler","Alabama",1013,1868,62
"8","2021-02-08","Calhoun","Alabama",1015,12426,246
"9","2021-02-08","Chambers","Alabama",1017,3266,81
"10","2021-02-08","Cherokee","Alabama",1019,1731,36
"11","2021-02-08","Chilton","Alabama",1021,3622,82
"12","2021-02-08","Choctaw","Alabama",1023,540,23
"13","2021-02-08","Clarke","Alabama",1025,3336,40
"14","2021-02-08","Clay","Alabama",1027,1362,52
"15","2021-02-08","Cleburne","Alabama",1029,1323,31
"16","2021-02-08","Coffee","Alabama",1031,5091,78
"17","2021-02-08","Colbert","Alabama",1033,5880,111
"18","2021-02-08","Conecuh","Alabama",1035,1032,23
"19","2021-02-08","Coosa","Alabama",1037,751,22
"20","2021-02-08","Covington","Alabama",1039,3752,92
"21","2021-02-08","Crenshaw","Alabama",1041,1355,49
"22","2021-02-08","Cullman","Alabama",1043,8740,163
"23","2021-02-08","Dale","Alabama",1045,4417,102
"24","2021-02-08","Dallas","Alabama",1047,3265,122
"25","2021-02-08","DeKalb","Alabama",1049,8276,149
"26","2021-02-08","Elmore","Alabama",1051,8927,152
"27","2021-02-08","Escambia","Alabama",1053,3639,55
"28","2021-02-08","Etowah","Alabama",1055,12819,273
"29","2021-02-08","Fayette","Alabama",1057,1921,46
"30","2021-02-08","Franklin","Alabama",1059,3914,68
"31","2021-02-08","Geneva","Alabama",1061,2321,58
"32","2021-02-08","Greene","Alabama",1063,827,29
"33","2021-02-08","Hale","Alabama",1065,2002,56
"34","2021-02-08","Henry","Alabama",1067,1754,36
"35","2021-02-08","Houston","Alabama",1069,9740,230
"36","2021-02-08","Jackson","Alabama",1071,6370,78
"37","2021-02-08","Jefferson","Alabama",1073,68577,1236
"38","2021-02-08","Lamar","Alabama",1075,1272,30
"39","2021-02-08","Lauderdale","Alabama",1077,8380,179
"40","2021-02-08","Lawrence","Alabama",1079,2729,78
"41","2021-02-08","Lee","Alabama",1081,14361,132
"42","2021-02-08","Limestone","Alabama",1083,8958,117
"43","2021-02-08","Lowndes","Alabama",1085,1271,42
"44","2021-02-08","Macon","Alabama",1087,1343,39
"45","2021-02-08","Madison","Alabama",1089,30840,363
"46","2021-02-08","Marengo","Alabama",1091,2223,39
"47","2021-02-08","Marion","Alabama",1093,2664,81
"48","2021-02-08","Marshall","Alabama",1095,10989,178
"49","2021-02-08","Mobile","Alabama",1097,34219,654
"50","2021-02-08","Monroe","Alabama",1099,1627,29
"51","2021-02-08","Montgomery","Alabama",1101,21514,422
"52","2021-02-08","Morgan","Alabama",1103,13272,220
"53","2021-02-08","Perry","Alabama",1105,1045,24
"54","2021-02-08","Pickens","Alabama",1107,2149,43
"55","2021-02-08","Pike","Alabama",1109,2828,56
"56","2021-02-08","Randolph","Alabama",1111,1561,37
"57","2021-02-08","Russell","Alabama",1113,3865,24
"58","2021-02-08","Shelby","Alabama",1117,20907,187
"59","2021-02-08","St. Clair","Alabama",1115,8458,186
"60","2021-02-08","Sumter","Alabama",1119,955,28
"61","2021-02-08","Talladega","Alabama",1121,7160,133
"62","2021-02-08","Tallapoosa","Alabama",1123,3411,124
"63","2021-02-08","Tuscaloosa","Alabama",1125,23123,342
"64","2021-02-08","Walker","Alabama",1127,6259,209
"65","2021-02-08","Washington","Alabama",1129,1501,29
"66","2021-02-08","Wilcox","Alabama",1131,1171,22
"67","2021-02-08","Winston","Alabama",1133,2399,52
"68","2021-02-08","Aleutians East Borough","Alaska",2013,323,0
"69","2021-02-08","Aleutians West Census Area","Alaska",2016,374,0
"70","2021-02-08","Anchorage","Alaska",2020,25683,149
"71","2021-02-08","Bethel Census Area","Alaska",2050,3445,17
"72","2021-02-08","Bristol Bay Borough","Alaska",2060,76,0
"73","2021-02-08","Denali Borough","Alaska",2068,67,0
"74","2021-02-08","Dillingham Census Area","Alaska",2070,187,1
"75","2021-02-08","Fairbanks North Star Borough","Alaska",2090,5924,26
"76","2021-02-08","Haines Borough","Alaska",2100,23,0
"77","2021-02-08","Juneau City and Borough","Alaska",2110,1175,3
"78","2021-02-08","Kenai Peninsula Borough","Alaska",2122,3904,19
"79","2021-02-08","Ketchikan Gateway Borough","Alaska",2130,295,2
"80","2021-02-08","Kodiak Island Borough","Alaska",2150,1040,5
"81","2021-02-08","Kusilvak Census Area","Alaska",2158,1156,3
"82","2021-02-08","Lake and Peninsula Borough","Alaska",2164,5,0
"83","2021-02-08","Matanuska-Susitna Borough","Alaska",2170,7766,29
"84","2021-02-08","Nome Census Area","Alaska",2180,318,0
"85","2021-02-08","North Slope Borough","Alaska",2185,982,3
"86","2021-02-08","Northwest Arctic Borough","Alaska",2188,573,1
"87","2021-02-08","Petersburg Borough","Alaska",2195,45,0
"88","2021-02-08","Prince of Wales-Hyder Census Area","Alaska",2198,70,1
"89","2021-02-08","Sitka City and Borough","Alaska",2220,299,0
"90","2021-02-08","Skagway Municipality","Alaska",2230,15,0
"91","2021-02-08","Southeast Fairbanks Census Area","Alaska",2240,441,3
"92","2021-02-08","Unknown","Alaska",NA,401,1
"93","2021-02-08","Valdez-Cordova Census Area","Alaska",2261,451,2
"94","2021-02-08","Wrangell City and Borough","Alaska",2275,25,0
"95","2021-02-08","Yukon-Koyukuk Census Area","Alaska",2290,311,4
"96","2021-02-08","Apache","Arizona",4001,9858,326
"97","2021-02-08","Cochise","Arizona",4003,10611,237
"98","2021-02-08","Coconino","Arizona",4005,15735,288
"99","2021-02-08","Gila","Arizona",4007,6175,200
"100","2021-02-08","Graham","Arizona",4009,5173,68
"101","2021-02-08","Greenlee","Arizona",4011,536,6
"102","2021-02-08","La Paz","Arizona",4012,2305,65
"103","2021-02-08","Maricopa","Arizona",4013,488687,7979
"104","2021-02-08","Mohave","Arizona",4015,20145,566
"105","2021-02-08","Navajo","Arizona",4017,14936,449
"106","2021-02-08","Pima","Arizona",4019,104921,1904
"107","2021-02-08","Pinal","Arizona",4021,43947,662
"108","2021-02-08","Santa Cruz","Arizona",4023,7517,159
"109","2021-02-08","Yavapai","Arizona",4025,16932,412
"110","2021-02-08","Yuma","Arizona",4027,35751,734
"111","2021-02-08","Arkansas","Arkansas",5001,1884,37
"112","2021-02-08","Ashley","Arkansas",5003,1698,29
"113","2021-02-08","Baxter","Arkansas",5005,2724,95
"114","2021-02-08","Benton","Arkansas",5007,26005,370
"115","2021-02-08","Boone","Arkansas",5009,3486,76
"116","2021-02-08","Bradley","Arkansas",5011,1293,29
"117","2021-02-08","Calhoun","Arkansas",5013,372,3
"118","2021-02-08","Carroll","Arkansas",5015,2674,40
"119","2021-02-08","Chicot","Arkansas",5017,1577,38
"120","2021-02-08","Clark","Arkansas",5019,1924,35
"121","2021-02-08","Clay","Arkansas",5021,1643,42
"122","2021-02-08","Cleburne","Arkansas",5023,1822,63
"123","2021-02-08","Cleveland","Arkansas",5025,889,23
"124","2021-02-08","Columbia","Arkansas",5027,2033,52
"125","2021-02-08","Conway","Arkansas",5029,2075,29
"126","2021-02-08","Craighead","Arkansas",5031,12465,173
"127","2021-02-08","Crawford","Arkansas",5033,6516,97
"128","2021-02-08","Crittenden","Arkansas",5035,5529,88
"129","2021-02-08","Cross","Arkansas",5037,1860,47
"130","2021-02-08","Dallas","Arkansas",5039,695,12
"131","2021-02-08","Desha","Arkansas",5041,1268,19
"132","2021-02-08","Drew","Arkansas",5043,1922,33
"133","2021-02-08","Faulkner","Arkansas",5045,11231,142
"134","2021-02-08","Franklin","Arkansas",5047,1557,32
"135","2021-02-08","Fulton","Arkansas",5049,1049,43
"136","2021-02-08","Garland","Arkansas",5051,9043,215
"137","2021-02-08","Grant","Arkansas",5053,1489,30
"138","2021-02-08","Greene","Arkansas",5055,5698,69
"139","2021-02-08","Hempstead","Arkansas",5057,1724,16
"140","2021-02-08","Hot Spring","Arkansas",5059,4592,68
