"","date","county","state","fips","cases","deaths"
"1","2021-02-09","Autauga","Alabama",1001,5910,77
"2","2021-02-09","Baldwin","Alabama",1003,18824,228
"3","2021-02-09","Barbour","Alabama",1005,2019,45
"4","2021-02-09","Bibb","Alabama",1007,2362,53
"5","2021-02-09","Blount","Alabama",1009,5929,113
"6","2021-02-09","Bullock","Alabama",1011,1132,29
"7","2021-02-09","Butler","Alabama",1013,1872,62
"8","2021-02-09","Calhoun","Alabama",1015,12477,247
"9","2021-02-09","Chambers","Alabama",1017,3283,84
"10","2021-02-09","Cherokee","Alabama",1019,1735,37
"11","2021-02-09","Chilton","Alabama",1021,3629,83
"12","2021-02-09","Choctaw","Alabama",1023,540,23
"13","2021-02-09","Clarke","Alabama",1025,3346,42
"14","2021-02-09","Clay","Alabama",1027,1371,52
"15","2021-02-09","Cleburne","Alabama",1029,1325,31
"16","2021-02-09","Coffee","Alabama",1031,5103,82
"17","2021-02-09","Colbert","Alabama",1033,5894,111
"18","2021-02-09","Conecuh","Alabama",1035,1040,23
"19","2021-02-09","Coosa","Alabama",1037,766,22
"20","2021-02-09","Covington","Alabama",1039,3774,92
"21","2021-02-09","Crenshaw","Alabama",1041,1368,49
"22","2021-02-09","Cullman","Alabama",1043,8756,166
"23","2021-02-09","Dale","Alabama",1045,4425,102
"24","2021-02-09","Dallas","Alabama",1047,3266,123
"25","2021-02-09","DeKalb","Alabama",1049,8287,150
"26","2021-02-09","Elmore","Alabama",1051,8961,155
"27","2021-02-09","Escambia","Alabama",1053,3666,55
"28","2021-02-09","Etowah","Alabama",1055,12837,273
"29","2021-02-09","Fayette","Alabama",1057,1923,47
"30","2021-02-09","Franklin","Alabama",1059,3923,69
"31","2021-02-09","Geneva","Alabama",1061,2326,59
"32","2021-02-09","Greene","Alabama",1063,828,29
"33","2021-02-09","Hale","Alabama",1065,1998,56
"34","2021-02-09","Henry","Alabama",1067,1760,36
"35","2021-02-09","Houston","Alabama",1069,9753,232
"36","2021-02-09","Jackson","Alabama",1071,6371,78
"37","2021-02-09","Jefferson","Alabama",1073,68747,1234
"38","2021-02-09","Lamar","Alabama",1075,1275,31
"39","2021-02-09","Lauderdale","Alabama",1077,8399,182
"40","2021-02-09","Lawrence","Alabama",1079,2734,79
"41","2021-02-09","Lee","Alabama",1081,14391,132
